time,elastic,external,fracture,mobility,plastic,plastic_strain,stress,total_strain
17.1,829851547.26065,4733058752.0796,79410361.026661,12.9375,3840032498.7051,0.011849168553391,321.56467160416,0.017246205
17.2,841883728.12028,4764657777.3269,98977115.783183,12.9375,3840032498.7051,0.011849168553391,320.11704903862,0.01734792
17.3,853800960.18346,4796112714.6995,118514732.35861,12.9375,3840032498.7051,0.011849168553391,318.68010326622,0.017449645
17.4,865604538.55551,4827424629.0431,138022980.50422,12.9375,3840032498.7051,0.011849168553391,317.25372603701,0.01755138
17.5,877295740.14069,4858594574.395,157501637.33078,12.9375,3840032498.7051,0.011849168553391,315.83781030623,0.017653125
17.6,888875824.00443,4889623594.1061,176950487.12597,12.9375,3840032498.7051,0.011849168553391,314.4322502355,0.01775488
17.7,900346031.56106,4920512720.9606,196369321.23604,12.9375,3840032498.7051,0.011849168553391,313.03694117167,0.017856645
17.8,911707586.91231,4951262977.2965,215757937.89063,12.9375,3840032498.7051,0.011849168553391,311.6517796467,0.01795842
17.9,922961697.07667,4981875375.1233,235116142.07538,12.9375,3840032498.7051,0.011849168553391,310.27666336107,0.018060205
18,934109552.23542,5012350916.2396,254443745.39488,12.9375,3840032498.7051,0.011849168553391,308.91149117184,0.018162
18.1,945152326.02594,5042690592.3493,273740565.90583,12.9375,3840032498.7051,0.011849168553391,307.55616309134,0.018263805
18.2,956091175.77057,5072895385.1771,293006428.00478,12.9375,3840032498.7051,0.011849168553391,306.21058026773,0.01836562
18.3,966927242.74277,5102966266.5828,312241162.26525,12.9375,3840032498.7051,0.011849168553391,304.87464498355,0.018467445
18.4,977661652.39028,5132904198.6746,331444605.33998,12.9375,3840032498.7051,0.011849168553391,303.54826063346,0.01856928
18.5,988295514.61238,5162710133.9208,350616599.78719,12.9375,3840032498.7051,0.011849168553391,302.23133172722,0.018671125
18.6,998829923.97292,5192385015.2613,369756993.97576,12.9375,3840032498.7051,0.011849168553391,300.92376386803,0.01877298
18.7,1009265959.9346,5221929776.2172,388865641.9549,12.9375,3840032498.7051,0.011849168553391,299.62546374321,0.018874845
18.8,1019604687.1402,5251345340.9997,407942403.28992,12.9375,3840032498.7051,0.011849168553391,298.3363391253,0.01897672
18.9,1029847155.5557,5280632624.6182,426987142.99973,12.9375,3840032498.7051,0.011849168553391,297.05629884322,0.019078605
19,1039994400.7846,5309792532.9866,445999731.40121,12.9375,3840032498.7051,0.011849168553391,295.78525278226,0.0191805
19.1,1050047444.2444,5338825963.0289,464980043.98483,12.9375,3840032498.7051,0.011849168553391,294.52311187493,0.019282405
